"site","dist","p.139K","p.139C","p.139.N","p.472K","p.472C","p.472.N","p.1166K","p.1166C","p.1166.N","p.1766K","p.1766C","p.1766.N","p.ND2K","p.ND2C","p.ND2.N","mean.sal","stdev","sal.N","p.F","p.S","p.sal.N"
1,0,0.078947368,0.921052632,38,0.333333333,0.666666667,38,0,1,38,0,1,38,0,1,19,30.5,2.380476143,4,0,1,4
2,1.6,0.15,0.85,20,0.1,0.9,20,0,1,20,0,1,20,0.1,0.9,10,21.57,1.159501809,10,0.292786885,0.707213115,10
3,2.2,0.15,0.85,20,0.45,0.55,20,0.1,0.9,20,0.1,0.9,20,0.2,0.8,10,23.75,0.5,4,0.221311475,0.778688525,4
4,3,0.28,0.72,50,0.44,0.56,50,0.12,0.88,50,0.1,0.9,50,0.24,0.76,25,13.5,3.494501175,19,0.557377049,0.442622951,19
5,6.9,0.55,0.45,20,0.75,0.25,20,0.65,0.35,20,0.65,0.35,20,0.7,0.3,10,20.83,3.656045222,6,0.31704918,0.68295082,6
6,7.3,0.85,0.15,20,0.75,0.25,20,0.6,0.4,20,0.6,0.4,20,0.8,0.2,10,7.2,2.167948339,5,0.763934426,0.236065574,5
7,7.5,0.55,0.45,20,0.75,0.25,20,0.4,0.6,20,0.4,0.6,20,0.7,0.3,10,7.27,0.666666667,10,0.761639344,0.238360656,10
8,7.6,0.8,0.2,20,0.6,0.4,20,0.5,0.5,20,0.5,0.5,20,0.7,0.3,10,4,1.224744871,5,0.868852459,0.131147541,5
9,8.6,0.95,0.05,20,0.6,0.4,20,0.85,0.15,20,0.85,0.15,20,0.7,0.3,10,7.27,1.699673171,10,0.761639344,0.238360656,10
10,30,1,0,20,1,0,20,0.95,0.05,20,0.95,0.05,20,0.9,0.1,10,1,1,5,0.967213115,0.032786885,5
11,75,1,0,20,1,0,20,1,0,20,1,0,20,1,0,10,0,0,4,1,0,4
